,user_id,item_id,reviewText,unixReviewTime,rating
0,0,0,Horizon is an excellent game. Its story and visuals are where it really shine. The combat and gameplay leaves a bit to be desired but I still really enjoyed it. It's similar to games like tomb raider and uncharted.,1503619200,4
1,1,1,You will not regret purchasing this item at all it is worth every penny,1503619200,5
2,2,2,Well probably the best Final Fantasy in a long long time if you like it join the team,1503619200,5
3,3,3,Been using it non stop since I made my pc. Love these products to death,1503619200,5
4,4,4,The hardware volume and mute switch are really convenient. The cord is long and durable. The sound quality is really good - clear with good bass. I haven't had any complaints about friends being unable to hear me. Overall awesome value.,1503619200,5
5,5,5,Fun game,1503619200,5
6,3,6,The scroll wheel broke but I fixed it on my own. Besides that it's a damn good mouse,1503619200,4
7,6,7,This was exactly what i needed! I was building a custom Handbrake for a PC racing simulator for drifting on assetto corsa and this helped me program the button exactly how i needed it and it works wonders!! was thinking of using this to re program all the steering wheel buttons to get a different rim on my Thrust master wheel.,1503619200,5
8,7,8,wow no charge at all coming from it!,1503619200,1
9,8,9,excelente,1503619200,5
10,1,10,You will not regret purchasing this item at all it is worth every penny,1503619200,5
11,9,11,One of the greatness 2d Platformers of our time. Super sad it didn't sell great but if you have a chance play this bad boy.,1503619200,5
12,6,12,this worked great on my old tv which had a glass like screen. i now have a TV with a matte screen and the dot doesn't stick. It is still a great product and works really well if you can get it to stick to your TV,1503619200,4
13,8,13,excelente,1503619200,5
14,3,14,The scroll wheel broke but I fixed it on my own. Besides that it's a damn good mouse,1503619200,4
15,10,15,"I loved this game! It was a great follow-up to the first one, but also a very different game. The camera, the fighting, the environments...all were much better. The story was also much more involved. I got about 20+ hours out of the game, but you could easily do longer. All the boss fights were manageable, with the exception of the last two being a bit more difficult. If you've never played the first game, I'd suggest doing it first. This story starts off from a radically different place than where the first one ended, but they do explain as they go along, tying it together. Well worth the purchase.",1503619200,5
16,2,16,When only the best will do fun very well may very cinematic if you have a weekend to burn this is the one for you,1503619200,5
17,11,17,"I usually write long reviews, but for some games, I'm going to write more of a short and direct review

8/10

Since the last one I played was 2k8, there have been major changes to the game. 8/10

In-depth fighting input / graphics slightly upgraded / more characters / superstar storyline is better / submission is little biased to the person who started it

there are modes, but I just played the regular matches. Also, the created superstar has been a mixed feeling for me. On one hand, it has multiple move-set for your fighter. But I realized they took out the create the finisher. I really hope 2k17 has that.",1503619200,4
18,8,18,excelente,1503619200,5
19,9,19,Never got to play birth by sleep but it was ok just repetitive after the first character you play. KH2 still a great arpg with the extra content make it worth it,1503619200,4
20,3,20,Don't get it unless you want mario pokemon or zelda. Not enough games,1503619200,3
21,8,21,excelente,1503619200,5
22,2,22,Pretty nice game for that kind of game it follows the series hopefully they'll be another season with maybe a bear finale,1503619200,4
23,8,23,excelente,1503619200,5
24,3,24,The scroll wheel broke but I fixed it on my own. Besides that it's a damn good mouse,1503619200,4
25,12,25,Set up was a little more complicated than it should be but the product itself met all expectations.  This was a replacement for a previous console and appreciate that the Wi-Fi is built in now.,1503619200,5
26,4,26,"This game is so incredible. The adventure, new game mechanics, everything is spot on and leaves little to be desired. Thank God they did away with HMs - no more HM slaves wasting a spot in your party! With the new daycare not leveling up your pokemon, the new IV judging system, and SOS battles making it super easy to raise EVs, there has never been a better time to get into competitive breeding and playing. I highly recommend this game to any pokemon player, seasoned and new alike.",1503619200,5
27,2,27,Now this is a decent game a little bit hard to comprehend up the beginning but it does give you a lot of play time and after a while you really get to enjoy it,1503619200,5
28,2,28,Well it's bottle feel you either like it or you don't but if you like it it's worth your money,1503619200,5
29,2,29,One of the top 10 games of the year definitely worth your money and if you played any of the other games on the series I must have,1503619200,5
30,2,30,Very good game for an indie game if you like something different these might be the one,1503619200,5
31,1,31,You will not regret purchasing this item at all it is worth every penny,1503619200,5
32,2,32,Yes I'm nice entertaining game buy it before Christmas so you can play it on the 25th if you get it you understand,1503619200,5
33,10,33,Nope...way too old-school for me. Very glitchy and no variety in environments. Bad camera and bad combat.,1503619200,2
34,2,34,Well what can I say good fighting game fighting game but to be the definitive edition is not the best,1503619200,3
35,13,35,"If you want to live out the TREK space battles. Pick up this game, I did not know it existed until someone told me about it. Its very ARCADE action based but its very fun and you can control a small fleet. This game really needed more HYPE for it.",1503619200,5
36,9,36,Solid end to the future series for ratchet and clank,1503619200,3
37,2,37,The essential Bioshock Edition if you like BioShock you'll really enjoy these many many R Us of fun,1503619200,5
38,4,38,"This game is so incredible. The adventure, new game mechanics, everything is spot on and leaves little to be desired. Thank God they did away with HMs - no more HM slaves wasting a spot in your party! With the new daycare not leveling up your pokemon, the new IV judging system, and SOS battles making it super easy to raise EVs, there has never been a better time to get into competitive breeding and playing. I highly recommend this game to any pokemon player, seasoned and new alike.",1503619200,5
39,2,39,Very decent take and an old franchise entertaining interview like these kind of game it's pretty appealing,1503619200,5
40,13,40,Only issue is you have to take the 3ds out to swap games. BUT THIS IS A MUST HAVE if you want a better non painful grip on your 3ds.,1503619200,5
41,14,41,"I ordered a xl system and it came with extras. I hadn't expected that.
After looking to see if there were any real differences, I came to the conclusion that I didn't need this set.
It's nice, but at $15, I couldn't find a reason to keep it.",1503619200,3
42,9,42,Fun with a lot of content but beware crap hit boxes with enemies and certain weapons,1503619200,5
43,2,43,More fun than the original though not very good music on it it's definitely a refry but if you enjoy their first these Persian it's well worth your money,1503619200,4
44,10,44,"I really enjoyed this game. The story was compelling and the graphics were pretty decent for PS3. I would have liked a bit more atmospheric rendering, but it is an older game. Overall, many of the missions were great, sometimes a little repetitive, but well worth playing.",1503619200,4
45,14,45,"Turned it on, set it up, works great so far. Came with extras so that's a plus.
My son decimated his 3DS, and I wasn't a fan of the 3D part to begin with.
Larger screen, nice shell, no obvious signs of wear and tear.
I'm a happy mom for now.",1503619200,4
46,2,46,Basically one day maybe two days with the game and 5 hours with the movie steel very epic game if you like these genre,1503619200,5
47,2,47,Not the best in the series but maybe a close second,1503619200,4
48,9,48,Loved it this classic in HD,1503619200,5
